,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Court_Indoor,Court_Outdoor,Surface_Clay,Surface_Grass,Surface_Hard,Round_1st Round,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,player1_round1,player2_round1,player1_round2,player2_round2,player1_round3,player2_round3,player1_round4,player2_round4,player1_round5,player2_round5
98,3,Kohlschreiber,Falla,Kohlschreiber,19,53,1770,821,1.33,3.25,False,True,False,False,True,False,True,False,False,False,False,False,False,7,6,4,6,6,3,0,0,0,0
99,3,Bellucci,Lacko,Lacko,32,48,1112,872,1.72,2.0,False,True,False,False,True,False,True,False,False,False,False,False,False,3,6,5,7,0,0,0,0,0,0
100,3,Levine,Baker,Levine,104,59,530,756,1.66,2.1,False,True,False,False,True,False,True,False,False,False,False,False,False,7,5,6,4,0,0,0,0,0,0
101,3,Jones,Monfils,Monfils,373,99,108,555,5.0,1.16,False,True,False,False,True,False,True,False,False,False,False,False,False,4,6,2,6,0,0,0,0,0,0
102,3,Haas,Sijsling,Haas,21,70,1681,706,1.5,2.5,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,6,4,0,0,0,0,0,0
103,3,Lu,Ferrer,Ferrer,60,5,754,6505,7.0,1.1,False,True,False,False,True,False,True,False,False,False,False,False,False,4,6,6,2,3,6,0,0,0,0
104,3,Kohlschreiber,Malisse,Kohlschreiber,19,62,1770,746,1.38,2.87,False,True,False,False,True,False,False,False,False,True,False,False,False,7,6,6,4,0,0,0,0,0,0
105,3,Levine,Querrey,Querrey,104,22,530,1650,3.75,1.25,False,True,False,False,True,False,False,False,False,True,False,False,False,4,6,6,7,0,0,0,0,0,0
106,3,Ferrer,Lacko,Ferrer,5,48,6505,872,1.08,8.0,False,True,False,False,True,False,False,False,False,True,False,False,False,6,2,6,1,0,0,0,0,0,0
107,3,Haas,Monfils,Monfils,21,99,1681,555,1.57,2.25,False,True,False,False,True,False,False,False,False,True,False,False,False,6,3,5,7,3,6,0,0,0,0
108,3,Kohlschreiber,Querrey,Kohlschreiber,19,22,1770,1650,2.37,1.53,False,True,False,False,True,False,False,False,False,False,False,True,False,6,4,7,6,0,0,0,0,0,0
109,3,Monfils,Ferrer,Ferrer,99,5,555,6505,5.0,1.16,False,True,False,False,True,False,False,False,False,False,False,True,False,1,6,2,6,0,0,0,0,0,0
110,3,Ferrer,Kohlschreiber,Ferrer,5,19,6505,1770,1.18,4.5,False,True,False,False,True,False,False,False,False,False,False,False,True,7,6,6,1,0,0,0,0,0,0
111,3,Duckworth,Istomin,Istomin,223,46,210,897,5.5,1.14,False,True,False,False,True,True,False,False,False,False,False,False,False,7,6,4,6,6,7,0,0,0,0
112,3,Granollers,Ebden,Granollers,34,105,1100,529,1.53,2.37,False,True,False,False,True,True,False,False,False,False,False,False,False,5,7,7,5,6,1,0,0,0,0
113,3,Sousa,Mayer,Mayer,100,28,546,1215,4.5,1.18,False,True,False,False,True,True,False,False,False,False,False,False,False,1,6,2,6,0,0,0,0,0,0
114,3,Benneteau,Andujar,Benneteau,35,45,1075,915,1.14,5.5,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,5,7,6,2,0,0,0,0
115,3,Chardy,Lopez,Lopez,37,42,1063,1005,1.83,1.83,False,True,False,False,True,True,False,False,False,False,False,False,False,7,6,5,7,3,6,0,0,0,0
116,3,Stepanek,Garcia-Lopez,Stepanek,33,81,1110,657,1.57,2.25,False,True,False,False,True,True,False,False,False,False,False,False,False,6,2,6,3,0,0,0,0,0,0
117,3,Robredo,Millman,Millman,109,191,515,259,1.5,2.5,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,4,6,0,0,0,0,0,0
118,3,Nieminen,Phau,Nieminen,44,78,927,668,1.5,2.5,False,True,False,False,True,True,False,False,False,False,False,False,False,6,0,6,1,0,0,0,0,0,0
119,3,Bedene,Anderson,Anderson,77,36,673,1065,4.0,1.22,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,6,3,3,6,0,0,0,0
120,3,Fognini,Dimitrov,Fognini,47,41,880,1008,3.75,1.25,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,6,1,0,0,0,0,0,0
121,3,Bautista,Harrison,Harrison,55,68,786,717,3.4,1.3,False,True,False,False,True,True,False,False,False,False,False,False,False,1,2,0,0,0,0,0,0,0,0
122,3,Tomic,Matosevic,Tomic,64,49,740,845,1.22,4.0,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,6,4,0,0,0,0,0,0
123,3,Stepanek,Benneteau,Benneteau,33,35,1110,1075,1.53,2.37,False,True,False,False,True,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
124,3,Istomin,Verdasco,Istomin,46,24,897,1490,2.1,1.66,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,6,3,0,0,0,0,0,0
125,3,Fognini,Granollers,Granollers,47,34,880,1100,2.25,1.57,False,True,False,False,True,False,True,False,False,False,False,False,False,2,6,6,7,0,0,0,0,0,0
126,3,Anderson,Lopez,Anderson,36,42,1065,1005,1.4,2.75,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,6,4,0,0,0,0,0,0
127,3,Isner,Harrison,Harrison,13,68,2215,717,1.61,2.2,False,True,False,False,True,False,True,False,False,False,False,False,False,4,6,4,6,0,0,0,0,0,0
128,3,Nieminen,Klec,Nieminen,44,416,927,91,1.14,5.5,False,True,False,False,True,False,True,False,False,False,False,False,False,6,3,6,1,0,0,0,0,0,0
129,3,Millman,Seppi,Seppi,191,23,259,1560,2.75,1.4,False,True,False,False,True,False,True,False,False,False,False,False,False,2,6,6,3,3,6,0,0,0,0
130,3,Tomic,Mayer,Tomic,64,28,740,1215,1.53,2.37,False,True,False,False,True,False,True,False,False,False,False,False,False,7,6,6,2,0,0,0,0,0,0
131,3,Istomin,Anderson,Anderson,46,36,897,1065,2.37,1.53,False,True,False,False,True,False,False,False,False,True,False,False,False,4,6,3,6,0,0,0,0,0,0
132,3,Benneteau,Harrison,Benneteau,35,68,1075,717,1.72,2.0,False,True,False,False,True,False,False,False,False,True,False,False,False,6,4,6,2,0,0,0,0,0,0
133,3,Nieminen,Tomic,Tomic,44,64,927,740,3.0,1.36,False,True,False,False,True,False,False,False,False,True,False,False,False,7,6,4,6,2,6,0,0,0,0
134,3,Seppi,Granollers,Seppi,23,34,1560,1100,1.66,2.1,False,True,False,False,True,False,False,False,False,True,False,False,False,6,4,7,5,0,0,0,0,0,0
135,3,Benneteau,Anderson,Anderson,35,36,1075,1065,2.37,1.53,False,True,False,False,True,False,False,False,False,False,False,True,False,6,3,4,6,6,7,0,0,0,0
136,3,Tomic,Seppi,Tomic,64,23,740,1560,1.44,2.62,False,True,False,False,True,False,False,False,False,False,False,True,False,7,6,6,4,0,0,0,0,0,0
137,3,Anderson,Tomic,Tomic,36,64,1065,740,2.2,1.61,False,True,False,False,True,False,False,False,False,False,False,False,True,3,6,7,6,3,6,0,0,0,0
138,5,Almagro,Johnson,Almagro,11,175,2515,302,1.14,5.5,False,True,False,False,True,True,False,False,False,False,False,False,False,7,5,6,7,6,2,6,7,6,2
139,5,Hanescu,Nishikori,Nishikori,63,18,753,1870,9.0,1.07,False,True,False,False,True,True,False,False,False,False,False,False,False,7,6,3,6,1,6,3,6,0,0
140,5,Rufin,Reister,Rufin,92,296,574,153,2.25,1.57,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,7,6,6,1,6,2,0,0
141,5,Authom,Berlocq,Berlocq,156,68,351,720,1.61,2.2,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,6,7,6,7,2,6,0,0
142,5,Benneteau,Dimitrov,Benneteau,38,41,1015,1008,2.5,1.5,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,6,2,6,4,0,0,0,0
143,5,Kubot,Gimeno-Traver,Gimeno-Traver,76,71,675,704,1.33,3.25,False,True,False,False,True,True,False,False,False,False,False,False,False,7,6,4,6,0,6,6,4,4,6
144,5,Roger-Vasselin,Bemelmans,Roger-Vasselin,101,114,539,486,2.2,1.61,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,6,7,2,6,7,5,11,9
145,5,Andujar,Malisse,Malisse,45,55,915,791,5.0,1.16,False,True,False,False,True,True,False,False,False,False,False,False,False,3,6,1,6,2,6,0,0,0,0
146,5,Verdasco,Goffin,Verdasco,24,49,1445,843,1.61,2.2,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,3,6,4,6,6,3,6,4
147,5,Stebe,Wawrinka,Wawrinka,164,17,327,1900,6.0,1.12,False,True,False,False,True,True,False,False,False,False,False,False,False,2,6,4,6,3,6,0,0,0,0
148,5,Harrison,Giraldo,Harrison,62,64,754,743,1.72,2.0,False,True,False,False,True,True,False,False,False,False,False,False,False,2,6,6,4,7,5,6,4,0,0
149,5,Ungur,Donskoy,Donskoy,99,82,557,637,3.4,1.3,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,4,6,2,6,0,0,0,0
150,5,Berdych,Russell,Berdych,6,94,4680,569,1.03,15.0,False,True,False,False,True,True,False,False,False,False,False,False,False,6,3,7,5,6,3,0,0,0,0
151,5,Mathieu,Djokovic,Djokovic,60,1,763,12920,29.0,1.002,False,True,False,False,True,True,False,False,False,False,False,False,False,2,6,4,6,5,7,0,0,0,0
152,5,Youzhny,Ebden,Youzhny,25,108,1335,509,1.16,5.0,False,True,False,False,True,True,False,False,False,False,False,False,False,4,6,6,7,6,2,7,6,6,3
153,5,Kukushkin,Melzer,Melzer,105,29,526,1177,5.5,1.14,False,True,False,False,True,True,False,False,False,False,False,False,False,1,6,1,6,2,6,0,0,0,0
154,5,Kamke,Cipolla,Kamke,90,95,577,568,1.25,3.75,False,True,False,False,True,True,False,False,False,False,False,False,False,6,1,6,4,6,1,0,0,0,0
155,5,Bogomolov,Baker,Baker,133,57,422,776,2.0,1.72,False,True,False,False,True,True,False,False,False,False,False,False,False,6,7,3,6,7,6,6,3,2,6
156,5,Smyczek,Karlovic,Smyczek,125,103,448,536,2.0,1.72,False,True,False,False,True,True,False,False,False,False,False,False,False,6,4,7,6,7,5,0,0,0,0
